id,name,artist,popularity,explicit,energy,tempo,positiveness,danceability,acousticness,instrumentalness,loudness,mode,speechiness,duration_ms,key,album_name,year
3nRAW6huHTz9zGpH5hE8sk,Billy,Lauv,46,False,0.323,176.793,0.439,0.786,0.0478,0,-8.75,1,0.367,180293,2,~how i'm feeling~,2019
6r3duEAfFTH83DuoywkG20,Feelings,Lauv,71,False,0.394,103.041,0.241,0.7,0.0567,0,-8.911,1,0.0328,189907,9,~how i'm feeling~,2019
5EfNBzwOjAfF9qgsWr9XGP,Canada,Lauv,60,False,0.264,93.252,0.346,0.628,0.623,0,-12.783,1,0.0405,184009,9,~how i'm feeling~,2019
4dORWJfLHYnXkB5PeR4s5b,For Now,Lauv,52,False,0.227,83.57,0.107,0.532,0.776,7.56e-06,-12.184,1,0.0416,189240,7,~how i'm feeling~,2019
6mXdCcFnPKQznj4CmMRmHC,Mean It,Lauv,71,False,0.45,96.001,0.329,0.747,0.0407,0,-8.543,1,0.0919,232853,7,~how i'm feeling~,2019
1AtkYADVXSwqRaDWbFNu3j,Tell My Mama,Lauv,46,False,0.497,139.977,0.492,0.88,0.191,0,-7.023,1,0.0523,166707,0,~how i'm feeling~,2019
04YCnP86jSUS5h1JNzbW10,Sweatpants,Lauv,46,True,0.495,159.945,0.725,0.722,0.048,0,-8.44,1,0.079,196040,10,~how i'm feeling~,2019
0pSqYDTjY1Xt86usTQslAx,Who,Lauv,74,False,0.337,141.701,0.0982,0.632,0.558,0,-8.0,0,0.033,180413,11,~how i'm feeling~,2019
7LpMG3AEaIJgs62HQhAa91,i'm so tired...,Lauv,77,False,0.735,101.252,0.498,0.548,0.173,0,-7.572,1,0.236,162587,11,~how i'm feeling~,2019
3Wd8txJHeEkEsHvS0jIywR,El Tejano,Lauv,49,True,0.56,134.014,0.945,0.879,0.135,0,-6.924,0,0.0514,191427,9,~how i'm feeling~,2019
3pTHZHX0MRE7xYeiTEWlaM,Tattoos Together,Lauv,66,True,0.401,122.962,0.606,0.863,0.00569,9.14e-06,-7.49,1,0.0748,186613,4,~how i'm feeling~,2019
45UAiFGe5KssWUbi5s1AOY,Changes,Lauv,58,False,0.454,74.026,0.191,0.604,0.458,0,-8.363,1,0.103,160187,2,~how i'm feeling~,2019
6YQT5luUxB6JwQdd8e7jbf,Sad Forever,Lauv,58,False,0.486,122.025,0.355,0.748,0.457,0,-8.926,1,0.0621,203520,5,~how i'm feeling~,2019
24n8p4vCkwNL9OhvTrwe9z,Invisible Things,Lauv,53,False,0.552,125.194,0.285,0.744,0.0834,8.02e-06,-7.406,1,0.0926,197307,7,~how i'm feeling~,2019
